"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2020/02/29","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","alKSoxD-OiqcSfUQ0v6IxA"
"1","2020/02/29","キャッシュレス・消費者還元分","266","セゾンカード","収入","ポイント還元","","0","VQhZQWvuwq5JtPct_xWZtg"
"1","2020/02/28","よしや","-3723","セゾンカード","食費","食料品","","0","-o1ceKzR_SaMJ-kw1TmLIQ"
"1","2020/02/22","安比ヒルズ白樺の森 3","-24000","セゾンカード","趣味・娯楽","旅行","","0","BJnj-OyWrt3GoRg8YPyblQ"
"1","2020/02/21","割引分","310","セゾンカード","収入","ポイント還元","","0","TS7uhrII2Na9EjnIzRtryA"
"1","2020/02/21","西友 サンシャイン店(精肉)","-11462","セゾンカード","食費","食料品","","0","LqzpqaN4yz46BrZTGF4fpg"
"1","2020/02/19","八十八楽 汐留店","-1155","セゾンカード","食費","外食","","0","_jpY5eGN4x3BGLxImF0wmA"
"1","2020/02/17","普通預金利息","1","三井住友銀行","収入","その他入金","","0","W7k-rZE3nQQ2tPUHGgXkdA"
"1","2020/02/16","青山シャンウェイ 丸の内店","-2640","セゾンカード","食費","外食","","0","esU5UctoervW_NX7gB34mg"
"1","2020/02/12","東京ガス 1474-640-0085","-3365","セゾンカード","水道・光熱費","ガス・灯油代","","0","yFqpzhrKsYfRte4T8Rl-eA"
"1","2020/02/11","メルサ","-5005","セゾンカード","食費","外食","","0","py41AIQVuPc0D8_WMRgEQw"
"1","2020/02/08","焼肉貴仙本店","-6875","セゾンカード","食費","外食","","0","YE_7huiMvM2E2EiFtBbIrQ"
"0","2020/02/04","セゾン","-110586","三井住友銀行","現金・カード","カード引き落とし","","1","xeWdNcmwoB8N1YSjRqD5EA"
"1","2020/02/02","割引分","152","セゾンカード","収入","ポイント還元","","0","e7TF9ikfs5pgKJT1bzUA9A"
"1","2020/02/02","西友 サンシャイン店(米乾物豆腐類)","-6819","セゾンカード","食費","食料品","","0","tgq-83Xfooo0RbLuR68R-g"
"1","2020/02/01","友諠商店","-4197","セゾンカード","食費","食料品","","0","tbQU95n7xoh9brNkOOt2jQ"
"1","2020/02/01","焼肉貴仙本店","-7480","セゾンカード","食費","外食","","0","E6KawUaOR9kEq3ciWRIn9g"
