"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/01/31","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","nGN_66SrwLAZ_MnLylKpLg"
"1","2019/01/31","ドミノ・ピザ","-3888","セゾンカード","食費","食料品","","0","2yjCWehVVg_Abc8PkIH2QQ"
"1","2019/01/31","振込 ジヤン チ- (セイカツヒ201902)","110000","三井住友銀行","収入","生活費","","0","jD06lZszKxMx3ygP2phhgA"
"1","2019/01/30","上下水道料金 12月~01月分","-4307","セゾンカード","水道・光熱費","水道代","","0","zE57iMiAO-LaK0v-vrVVew"
"1","2019/01/27","ライフコーポレーション","-7352","セゾンカード","食費","食料品","","0","u-emeGrFeTDOKvQHPgZ-ug"
"1","2019/01/26","アクアシティお台場","-580","セゾンカード","食費","食料品","","0","LUnFHSx967CW1W74INItIw"
"1","2019/01/26","アクアシティお台場","-10718","セゾンカード","食費","外食","","0","f_MuUBjhTQnShgAT4XcbXw"
"1","2019/01/21","V158850","-4080","三井住友銀行","食費","外食","","0","y7F3c-N3rr-Lsj3ucnjbVg"
"1","2019/01/21","振込 Vキヤツシユバツク","41","三井住友銀行","収入","その他入金","","0","ANOWxnM1mou6k9AHV6QeKQ"
"1","2019/01/20","アトレヴィ大塚","-702","セゾンカード","食費","食料品","","0","wtfo-Caevc9Kvf-42lTVeQ"
"1","2019/01/16","東京ガス 1474-640-0085","-5216","セゾンカード","水道・光熱費","ガス・灯油代","","0","x_buwri3gZFHfzOTDDEsiw"
"1","2019/01/14","グリーンリーフホテル ニセコビレッジ","-3200","セゾンカード","趣味・娯楽","旅行","","0","HEPaKOkG2CE6xKFilo7azQ"
"1","2019/01/14","ニセコビレッジ","-10400","セゾンカード","趣味・娯楽","アウトドア","","0","mO4VNKCTIGXZFK9NtmS20g"
"1","2019/01/14","新千歳空港ターミナルビルディング","-3002","セゾンカード","食費","その他食費","","0","IXfYptaDLCZ3d6BcWS66Kw"
"1","2019/01/14","新千歳空港ターミナルビルディング","-3610","セゾンカード","食費","その他食費","","0","6ke-OmCe8qnIIXMb4wcGNQ"
"1","2019/01/13","ニセコビレッジ","-14800","セゾンカード","趣味・娯楽","アウトドア","","0","Pld3UBGRldVFpg0pAP4ttQ"
"1","2019/01/13","ニセコ花園308 -北海道 虻田郡","-1700","セゾンカード","食費","食料品","","0","nZGLuGty5zMq_sDAnW2fRA"
"1","2019/01/13","ニセコ花園308 -北海道 虻田郡","-4350","セゾンカード","食費","食料品","","0","WsTmgFrLCuRvxBigfkpw_w"
"1","2019/01/12","きのこ王国 本店","-1400","セゾンカード","食費","食料品","","0","Pun6Vd78fIGsGnv0ccETrw"
"1","2019/01/12","ニセコビレッジ","-4000","セゾンカード","趣味・娯楽","アウトドア","","0","fnNZhFRW2c3_hGFtXZmCbw"
"1","2019/01/12","ニセコビレッジ","-10500","セゾンカード","趣味・娯楽","アウトドア","","0","XElK88tlNrX2p2QeJ17N4w"
"1","2019/01/12","ニセコビレッジ","-15000","セゾンカード","趣味・娯楽","アウトドア","","0","sqTY0uxjpr3Nz0h804XhEA"
"1","2019/01/12","新千歳空港ターミナルビルディング","-3240","セゾンカード","食費","その他食費","","0","jlNhHzM3slpBXl0_sK2uKQ"
"1","2019/01/12","羽田空港 ターミナルビル - 東京都 大田区","-1577","セゾンカード","食費","その他食費","","0","P1BKbcEMxoC2IboK9nFmCg"
"1","2019/01/06","マルエツプチ 新大塚","-1623","セゾンカード","食費","食料品","","0","NHMfFtl6Rx64R8jEFDWpCw"
"1","2019/01/04","マルエツプチ 東池袋三丁目","-429","セゾンカード","食費","食料品","","0","dObCILi-E6tJU_VWGrGdKA"
"0","2019/01/04","セゾン","-68024","三井住友銀行","現金・カード","カード引き落とし","","1","dSB7zq1wDA778xN9YavNaQ"
"1","2019/01/03","ジーンズメイト 池袋本店","-4724","セゾンカード","衣服・美容","衣服","","0","aPFqRB4Xn0VeygyYv5l6NQ"
"1","2019/01/03","ニトリ","-388","セゾンカード","日用品","日用品","","0","J86Mu4S7pVTz1ZN8AFouAQ"
"1","2019/01/03","ユニクロ","-1065","セゾンカード","衣服・美容","衣服","","0","-MDh0-1HoxInkxiRJ5PjTQ"
"1","2019/01/02","ETC首都高速 (東名道接続→西池袋外)","-690","セゾンカード","自動車","道路料金","","0","be7N1Oti-W4pEthtTQKhcQ"
"1","2019/01/02","ETC首都高速 (西池袋→東名道接続)","-690","セゾンカード","自動車","道路料金","","0","a_iwGz3d0p9EH7v0edzI5g"
"1","2019/01/02","ETC特別割引 (御殿場→東京)","-2130","セゾンカード","自動車","道路料金","","0","F1Zvs3URxwakAfn2a-bYgA"
"1","2019/01/02","ETC特別割引 (東京→御殿場)","-2130","セゾンカード","自動車","道路料金","","0","gBfDcsRQg3dIbmAYpaSIqQ"
"1","2019/01/02","タイムズカープラス","-12535","セゾンカード","自動車","駐車場","","0","j53_F1jvKhYWmODIQODgxA"
"1","2019/01/02","割引分","29","セゾンカード","収入","ポイント還元","","0","R_SFHM2qD2vJUaFPdE3KCA"
"1","2019/01/02","西友 サンシャイン店(惣菜類)","-943","セゾンカード","食費","食料品","","0","35bSWAD-pJTzY-N-SE8TbQ"
"1","2019/01/01","東京ドームシティ ラクーア","-648","セゾンカード","趣味・娯楽","アウトドア","","0","8jxUEZp-r_smYTj5V7M63w"
"1","2019/01/01","東京ドームシティ ラクーア","-1620","セゾンカード","趣味・娯楽","アウトドア","","0","gKGlanOemmj6MtR-EClBHQ"
