"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/02/28","タイムズカープラス","-1030","セゾンカード","自動車","駐車場","","0","DonjQSgN6AvJedp1-Rx3GQ"
"1","2019/02/28","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","ZYsfDYk4_fRky-uxEMjQlg"
"1","2019/02/27","友諠商店","-1430","セゾンカード","食費","食料品","","0","FSoc_aya3Rp79JWBzbL4LA"
"1","2019/02/27","スギ薬局 東池袋店","-1817","セゾンカード","日用品","ドラッグストア","","0","jh3bEXnf-QJ0YdjD0dXeWA"
"1","2019/02/27","割引分","51","セゾンカード","収入","ポイント還元","","0","TTk_AgzkEjt8I_iQrhECRw"
"1","2019/02/27","西友 サンシャイン店(果物)","-1681","セゾンカード","食費","食料品","","0","P-4IcQH5XoDFtgfZ_IZ3lQ"
"1","2019/02/26","振込 ジヤン チ- (201903セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","HcdsNCznuEIjf-JnSELxJw"
"1","2019/02/25","アトレヴィ大塚","-974","セゾンカード","衣服・美容","衣服","","0","zxpRvxxx2oOh3oKI7NNAxg"
"1","2019/02/20","振込 Vキヤツシユバツク","10","三井住友銀行","収入","その他入金","","0","fbTXsgExjYsqGOZLfiX_rg"
"1","2019/02/18","パソコン振込 リ ボルン","-9316","三井住友銀行","交際費","交際費","","0","H2QH1bZ7fqy-k4GlrqHK0A"
"1","2019/02/13","V069066","-1675","三井住友銀行","食費","外食","","0","5hB2WAy54gJLHAGie2LObA"
"1","2019/02/12","東京ガス 1474-640-0085","-4732","セゾンカード","水道・光熱費","ガス・灯油代","","0","8-YwJMM6CjnG_MOIPrc01w"
"1","2019/02/11","マツモトキヨシ新大塚駅前店","-2830","セゾンカード","日用品","ドラッグストア","","0","VtReldCwgWmQr3aXkzeC2g"
"1","2019/02/11","マルエツプチ 新大塚","-1204","セゾンカード","食費","食料品","","0","HzPf3k1CHXKd5tcWWjmb8g"
"1","2019/02/10","ニトリ","-1490","セゾンカード","日用品","日用品","","0","mVLQN5lVUBd97iYth4fpUA"
"1","2019/02/10","割引分","117","セゾンカード","収入","ポイント還元","","0","RqHSEhD9pSEwAJqws8Zf-g"
"1","2019/02/10","西友 サンシャイン店(精肉)","-3898","セゾンカード","食費","食料品","","0","NCeVUpI3yKKbksG7KR9bmw"
"1","2019/02/08","割引分","224","セゾンカード","収入","ポイント還元","","0","_RMpqeZ8pQiWzc43fsL1GQ"
"1","2019/02/08","西友 サンシャイン店(米乾物豆腐類)","-8348","セゾンカード","食費","食料品","","0","LouOv9BYgFUr-qq_dx2wUA"
"1","2019/02/04","V940314","-2614","三井住友銀行","食費","外食","","0","kRvBGWDZTqkNmDwsOCUuYQ"
"0","2019/02/04","セゾン","-70607","三井住友銀行","現金・カード","カード引き落とし","","1","e0AdxFbni9tmttZk7Ix3mw"
