"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2020/06/30","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","Mx2SlP2pJfh7nbY-mMpe4Q"
"1","2020/06/30","キャッシュレス・消費者還元分","1558","セゾンカード","収入","ポイント還元","","0","waFh1dCcDlBMTRDhsFv4QA"
"1","2020/06/30","スーパーシマダヤ大塚店","-2930","セゾンカード","食費","食料品","","0","3BEKdpGB4cIk3-2D9oYi0A"
"1","2020/06/30","振込 ジヤン チ- (202007セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","JUorq8lJdcykXaZoPSmf5g"
"1","2020/06/29","マツモトキヨシ新大塚駅前店","-870","セゾンカード","日用品","ドラッグストア","","0","Zj5CujnPkUsLQeFRmtzERA"
"1","2020/06/29","マルエツプチ 新大塚","-822","セゾンカード","食費","食料品","","0","epUHty8z55qL84P_-89QMQ"
"1","2020/06/28","よしや","-464","セゾンカード","食費","食料品","","0","wnSwQX-JgWnltvl0Qvayeg"
"1","2020/06/28","カレー食堂心 西新宿店","-2728","セゾンカード","食費","外食","","0","EQaxtId-UCbIR98n9A2EZg"
"1","2020/06/24","ライフ新大塚店 -東京都 豊島区","-5952","セゾンカード","食費","食料品","","0","s7qxSNjxYq0WCbPmLcfCRw"
"1","2020/06/22","スーパーシマダヤ大塚店","-2316","セゾンカード","食費","食料品","","0","l8yFzEKu3nNbtzGQqm_u1g"
"1","2020/06/22","ベンガルビストロスナリ","-2790","セゾンカード","食費","外食","","0","RJrWneZNXtHnSPLCbyhvhA"
"1","2020/06/21","よしや","-1817","セゾンカード","食費","食料品","","0","Nc3tIBLJrUSwVgHXLWcTqg"
"1","2020/06/20","よしや","-5503","セゾンカード","食費","食料品","","0","WzBTQ_TPUk6pkxR1a50vKw"
"1","2020/06/19","シズラー 大塚店 -東京都 豊島区","-2081","セゾンカード","食費","外食","","0","vlAapnoVmXwWmwl6Gp9a2Q"
"1","2020/06/14","よしや","-4734","セゾンカード","食費","食料品","","0","oI9r4bFiR77uu4ODZnBeiw"
"1","2020/06/13","常磐道 守谷サービスエリア 下り線","-1350","セゾンカード","食費","外食","","0","-tOQ_NJf4-9mztu3nv2n2w"
"1","2020/06/13","常磐道 守谷サービスエリア 下り線","-1480","セゾンカード","食費","外食","","0","YASxZsbADYFykP8evnK3Ig"
"1","2020/06/12","よしや","-2041","セゾンカード","食費","食料品","","0","7rhOeXeU5VYy2Pm9XoSLEQ"
"1","2020/06/12","シズラー 大塚店 -東京都 豊島区","-2816","セゾンカード","食費","外食","","0","m2UQ63RdFOtRkIIFnl5EYg"
"1","2020/06/11","東京ガス 1474-640-0085","-2523","セゾンカード","水道・光熱費","ガス・灯油代","","0","SU-clAncT-8KZHl4vlO1Rw"
"1","2020/06/07","肉のハナマサ 滝野川店","-3885","セゾンカード","食費","食料品","","0","Byuep3LxFV-GI6Jew-PMOw"
"1","2020/06/06","よしや","-6052","セゾンカード","食費","食料品","","0","1uxkl-EQCZ31ep43iU488w"
"1","2020/06/05","振込 トシマク トクベツテイガクキユウフキン","200000","三井住友銀行","収入","一時所得","","0","EJyJ8Y1oI_u4AqsPDzEhNw"
"1","2020/06/04","ライフ新大塚店 -東京都 豊島区","-3134","セゾンカード","日用品","日用品","","0","0sChzQTWP32NzxPVg88KlA"
"0","2020/06/04","セゾン","-88476","三井住友銀行","現金・カード","カード引き落とし","","1","Y-8Ri23jsfHFgvdtZirGJw"
"1","2020/06/02","よしや","-519","セゾンカード","食費","食料品","","0","NWDK5vk2Xf6B1Db-kCZbkg"
"1","2020/06/02","天下寿司 大塚店","-2653","セゾンカード","食費","外食","","0","Nydo9fo4SFQXyw3AWnQSyg"
