"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2020/01/31","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","zU-t5P-pO16k8FPKVuEYVQ"
"1","2020/01/29","上下水道料金 12月~01月分","-3902","セゾンカード","水道・光熱費","水道代","","0","y4nGeNzIkICnoeniK3zkIA"
"1","2020/01/20","振込 ジヤン チ- (202001-02セイカツヒ)","220000","三井住友銀行","収入","生活費","","0","6mWLCh_uZ6oTeB8LrcBtWg"
"1","2020/01/20","振込 Vキヤツシユバツク","76","三井住友銀行","収入","その他入金","","0","qPPRVRD3CIFNfGAX_U3CQQ"
"1","2020/01/19","すき家","-2080","セゾンカード","食費","外食","","0","y7Dj5FRXD4FUpCA8SkFXhA"
"1","2020/01/18","GALA 湯沢","-8000","セゾンカード","趣味・娯楽","アウトドア","","0","Aroz_QUUP43XPFlZSlGSAA"
"1","2020/01/18","割引分","107","セゾンカード","収入","ポイント還元","","0","-E0wUo-A_Y2zUpLqhAX4tQ"
"1","2020/01/18","西友 サンシャイン店(果物)","-2136","セゾンカード","食費","食料品","","0","HO4DU4WekNsGKnht1jgpfg"
"1","2020/01/15","東京ガス 1474-640-0085","-3377","セゾンカード","水道・光熱費","ガス・灯油代","","0","JYvCn6c7tzElJGEM3pVanw"
"1","2020/01/15","アトレヴィ大塚","-926","セゾンカード","食費","食料品","","0","rmDsFjgzstLcpUi34FMKkw"
"1","2020/01/14","V000000","145","三井住友銀行","収入","ポイント還元","","0","2eA3ku3L7c4x2gH6rJfBrA"
"1","2020/01/14","V000000","314","三井住友銀行","収入","ポイント還元","","0","HG1goDvT8bFrTEGhIgnMHg"
"1","2020/01/12","西武池袋本店(米飯)","-637","セゾンカード","食費","食料品","","0","H4oiKpcBepjzBSiSkniQ9A"
"1","2020/01/11","割引分","75","セゾンカード","収入","ポイント還元","","0","idtKDqRIKhCqW-aGMvvlbw"
"1","2020/01/11","西友 サンシャイン店(果物)","-3691","セゾンカード","食費","食料品","","0","2PCaB5Y05bsNGhsu1qIq3Q"
"1","2020/01/10","銀だこ大衆酒場 大塚南口店","-1080","セゾンカード","食費","外食","","0","v6DdthDrLxHo5eJjDceOYg"
"1","2020/01/08","マツモトキヨシ新大塚駅前店","-3960","セゾンカード","日用品","ドラッグストア","","0","FUneoxjru2sIaRWr0YPB3g"
"0","2020/01/06","セゾン","-134828","三井住友銀行","現金・カード","カード引き落とし","","1","qT8gdjv5E_GCULicj1rEbg"
"1","2020/01/06","振込 リユウ シンセイ","200000","三井住友銀行","収入","生活費","","0","d98QIlQFpX5u8D-eRhX4cg"
