"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2020/04/30","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","Sed7zFtFQHHItl5-vMiHRA"
"1","2020/04/30","キャッシュレス・消費者還元分","744","セゾンカード","収入","ポイント還元","","0","wiCxOAO4mWu-bKM9QO06JQ"
"1","2020/04/30","ライフ新大塚店 -東京都 豊島区","-6421","セゾンカード","日用品","日用品","","0","NPPUQ7EwWRZk4wib54URsA"
"1","2020/04/27","スーパーシマダヤ大塚店","-1695","セゾンカード","食費","食料品","","0","JcVnMtQtFvKOpD0471jo8w"
"1","2020/04/25","サミットストア 巣鴨店 -東京都 豊島区","-6703","セゾンカード","食費","食料品","","0","MqyI8Gb0wMsou4GFIAQhww"
"1","2020/04/25","振込 ジヤン チ- (202005セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","5a-yOilmX1GPkpA-Q2uFhQ"
"1","2020/04/23","ライフ新大塚店 -東京都 豊島区","-343","セゾンカード","日用品","日用品","","0","ZElQBSa5cmGC9WKX0v7AYQ"
"1","2020/04/23","ライフ新大塚店 -東京都 豊島区","-1183","セゾンカード","日用品","日用品","","0","qtDoVP0OgzmoAQh9Uhob7Q"
"1","2020/04/21","ライフ新大塚店 -東京都 豊島区","-5882","セゾンカード","日用品","日用品","","0","FFd5tYJYfv2H9AQaFJzJTg"
"1","2020/04/19","よしや","-7156","セゾンカード","食費","食料品","","0","QXxH-8aGYcv5aupsUNkLmA"
"1","2020/04/19","ココカラファイン","-1240","セゾンカード","日用品","ドラッグストア","","0","I1ddo-kAgYLeH1Ve0l8low"
"1","2020/04/16","銀のさら 滝野川店","-8472","セゾンカード","食費","外食","","0","8TWEPtFsUYYnuWjOGJkDMQ"
"1","2020/04/14","ライフ新大塚店 -東京都 豊島区","-6476","セゾンカード","日用品","日用品","","0","7QjS0Isspb3LMgT_at-AXQ"
"1","2020/04/13","東京ガス 1474-640-0085","-4321","セゾンカード","水道・光熱費","ガス・灯油代","","0","OHkGlm3fMb3QWS3qHcFCDQ"
"1","2020/04/12","マツモトキヨシ新大塚駅前店","-4017","セゾンカード","日用品","ドラッグストア","","0","8oXzBur4DzhDeJGI67xYbA"
"1","2020/04/12","マルエツプチ 新大塚","-5774","セゾンカード","食費","食料品","","0","_eUBB47UT0qyCV5ezFH6mQ"
"1","2020/04/11","ユニディ 千鳥町店","-4576","セゾンカード","日用品","日用品","","0","pJVGnr_iaxWTuf9cXtYlDA"
"1","2020/04/11","麺場田所商店","-2761","セゾンカード","食費","外食","","0","mUn5hEMbfsjkrA9GWvppfg"
"1","2020/04/10","割引分","11","セゾンカード","収入","ポイント還元","","0","6AurYtJ0SMmylZpB6HlwsA"
"1","2020/04/10","西友 サンシャイン店(加工食品)","-588","セゾンカード","食費","食料品","","0","RK7KJsdwLnMqTVd8thgucA"
"1","2020/04/09","よしや","-3311","セゾンカード","食費","食料品","","0","g8aVpTXkxaeHZETUpu16zw"
"0","2020/04/06","セゾン","-69728","三井住友銀行","現金・カード","カード引き落とし","","1","HuSEdYg4RcZLYCOK6uOQbA"
"1","2020/04/04","ライフ新大塚店 -東京都 豊島区","-7639","セゾンカード","日用品","日用品","","0","R57nhRZNljBpRuPhtRCDLQ"
"1","2020/04/03","マルエツプチ 新大塚","-1185","セゾンカード","食費","食料品","","0","4XeL1-qU0NTpgL5gB3PR0w"
