"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/10/31","BIGLOBE利用料 -東京都 品川区","-4777","セゾンカード","通信費","インターネット","","0","7ZVbGNGA0R1-o_cdCd6UXg"
"1","2019/10/31","キャッシュレス・消費者還元分","176","セゾンカード","収入","ポイント還元","","0","uMPbIxJMT167y-HEKlhEOw"
"1","2019/10/30","アトレヴィ大塚","-473","セゾンカード","食費","食料品","","0","E7RYox38S15IPq-j4ps4Gw"
"1","2019/10/29","振込 ジヤン チ- (201911セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","LKXzv5sWVyyHcZTUQg_vaA"
"1","2019/10/28","AoMoLink~赤坂~","-486","セゾンカード","食費","食料品","源たれ","0","fYNeb0UiUgNP3epxY--HVQ"
"1","2019/10/23","まいばすけっと","-998","セゾンカード","食費","食料品","","0","15M5gWYw8DyGfvb6xbOf5g"
"1","2019/10/22","友諠商店","-3043","セゾンカード","食費","食料品","","0","W23KK209jaEDN6USsk0fkg"
"1","2019/10/22","海底撈","-11480","セゾンカード","交際費","交際費","","0","5fPhVil18br87XBBOVMGhA"
"1","2019/10/21","千里香上野店","-5093","セゾンカード","食費","外食","","0","XedUEXY1bOBbREqjbpszxg"
"1","2019/10/21","振込 Vキヤツシユバツク","5","三井住友銀行","収入","その他入金","","0","xD27S-z0cIU--y4HKMwrcg"
"1","2019/10/16","V717904 マルエツプチ新大□店","-1623","三井住友銀行","食費","外食","","0","wp2dxurWm0TuuAiHzhrF0A"
"1","2019/10/15","振込 リユウ シンセイ","167000","三井住友銀行","収入","生活費","","0","PSrjp6npNv_5mITTlgyzCA"
"1","2019/10/14","アトレヴィ大塚","-893","セゾンカード","食費","外食","","0","TNkkGl0KEPf9uE5nMR_JwA"
"1","2019/10/14","SOUTHERNAIRLINE SOUTHERNAIRLIN","-333620","セゾンカード","趣味・娯楽","旅行","","0","KLtjbKbI6VvL2IcZLzXXHg"
"1","2019/10/13","よしや","-800","セゾンカード","食費","食料品","","0","_doLqi_aJE7SLLF2HONygQ"
"1","2019/10/13","東僑酒楼 巣鴨本店/Air","-4090","セゾンカード","食費","外食","","0","TxvQePngtRsMHUytNh8Xew"
"1","2019/10/13","マクドナルド","-720","セゾンカード","食費","外食","","0","sTEpQLYjAa7wymaJ9tQ5dA"
"1","2019/10/11","まいばすけっと","-2147","セゾンカード","食費","食料品","","0","joNTU8NSkpZpDUe7RGVz7w"
"1","2019/10/10","東京ガス 1474-640-0085","-1931","セゾンカード","水道・光熱費","ガス・灯油代","","0","LCxJZqCYqnIofvut3_VDDg"
"1","2019/10/10","アクティビティジャパン -東京都 新宿区","10200","セゾンカード","収入","返品","","0","qDotZjH0O6olGOZik9H4Mg"
"1","2019/10/09","アトレヴィ大塚","-3080","セゾンカード","食費","食料品","","0","HcdMhgMTA1fFecyR8XitEw"
"1","2019/10/06","アトレヴィ大塚","-1861","セゾンカード","食費","食料品","","0","zf-WG9nEG0DbwqRKJ4C6sw"
"0","2019/10/04","セゾン","-69011","三井住友銀行","現金・カード","カード引き落とし","","1","W1vXFff5PhCHNMv1jDe3vw"
"1","2019/10/01","上下水道料金 08月~09月分","-4021","セゾンカード","水道・光熱費","水道代","","0","taZndf1RsVYgfkWyLSkWbg"
"1","2019/10/01","振込 ジヤン チ- (ゴシユウギ)","90000","三井住友銀行","収入","一時所得","","0","KwyVZhPQG2M-pYEYr5OR3Q"
