"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/09/30","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","NJ6llZZOIaCVNv3AZ1nS_w"
"1","2019/09/29","振込 ジヤン チ- (201910セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","qI69elRlcLWEjWJGbNeKZA"
"1","2019/09/28","割引分","228","セゾンカード","収入","ポイント還元","","0","KPLrxx1TCa_ivnPLQI6mkA"
"1","2019/09/28","西友 サンシャイン店(果物)","-4860","セゾンカード","食費","食料品","","0","pFPYXVRvEWVTKSwlqBKJ9A"
"1","2019/09/25","沖縄豚カツ食堂 しまぶた屋","-4708","セゾンカード","食費","外食","","0","CpSPUV8lwEKFDe8juBwS4w"
"1","2019/09/25","タイムズカーレンタル国内Web予約","-13554","セゾンカード","交通費","その他交通費","","0","C1I1xVrzPrPiwvR20sh6bw"
"1","2019/09/25","タイムズカーレンタル国内Web予約","13230","セゾンカード","収入","ポイント還元","","0","9m6xWJ-2ZvGpaOrcw11h-w"
"1","2019/09/25","ENEOS SS","-1892","セゾンカード","自動車","ガソリン","","0","q1D51IvbXrsXAK3iYxYdqg"
"1","2019/09/24","ちぬまん別亭","-7084","セゾンカード","食費","外食","","0","hk0ji0ae3_P_EHPg0Gzouw"
"1","2019/09/24","新垣鮮魚店","-12200","セゾンカード","食費","外食","","0","yN_THdr-6lTMa2P4Fgvtwg"
"1","2019/09/23","出光昭和シェル","-3218","セゾンカード","自動車","ガソリン","","0","7CpJBjYKNEr4cMtV87PvaQ"
"1","2019/09/23","シーサー館","-2484","セゾンカード","食費","外食","","0","s4wlj9HhnR7ceTnM4LJLQg"
"1","2019/09/23","ダイコクドラッグ 国際通り西店","-7376","セゾンカード","日用品","ドラッグストア","","0","UrS1iBY7p8x9cHI0lIsiVQ"
"1","2019/09/23","ドン キホーテ 国際通り店 -沖縄県 那覇市","-5510","セゾンカード","日用品","日用品","","0","QrgMpkw_xRsxqW-JoBILDQ"
"1","2019/09/20","振込 Vキヤツシユバツク","1","三井住友銀行","収入","その他入金","","0","j1kW5QFJzKRzg5bly7aesQ"
"1","2019/09/19","よしや","-1219","セゾンカード","食費","食料品","","0","ginmGJ3_CDoVYwNCguv5HQ"
"1","2019/09/19","大江戸温泉物語","-7232","セゾンカード","趣味・娯楽","アウトドア","","0","C6-bYszf3WaFgLIndfnlUw"
"1","2019/09/18","出光昭和シェル","-1850","セゾンカード","自動車","ガソリン","","0","4vJGfDgCO5WGvYFTj0wTIA"
"1","2019/09/18","旭日丘バスターミナル","-9200","セゾンカード","食費","外食","","0","JqCyYyMyHHmJwvVXCukFEA"
"1","2019/09/18","うなぎ源内","-13392","セゾンカード","食費","外食","","0","jYzfonVcQhGlqcweqEYHnw"
"1","2019/09/15","よしや","-2550","セゾンカード","食費","食料品","","0","GkwWK3SkTuBnHEZxI9h5Fg"
"1","2019/09/15","京成スカイライナー","-9880","セゾンカード","交通費","電車","","0","27e0TWjqd7fEYmr8NAX1Hw"
"1","2019/09/14","アトレヴィ大塚","-1333","セゾンカード","食費","食料品","","0","NZ5BhQOLFsTZQGZVjqhNIg"
"1","2019/09/10","東京ガス 1474-640-0085","-1795","セゾンカード","水道・光熱費","ガス・灯油代","","0","qTZQIkfAMUnwsob2e8TLWg"
"1","2019/09/09","V482385 UBER EATS HELP.UBER.","-2150","三井住友銀行","食費","外食","","0","w4d64VLTvAiO96wQ1x7oHQ"
"1","2019/09/08","「ザ・ガ-デン自由が丘」 池袋店","-907","セゾンカード","食費","食料品","","0","TZOash7_S7AbUqTKjrEw1Q"
"1","2019/09/07","割引分","57","セゾンカード","収入","ポイント還元","","0","K09kSGXTbZ4514OiAko4Ew"
"1","2019/09/07","西友 サンシャイン店(水産品)","-1574","セゾンカード","食費","食料品","","0","RF70mjai4AFrWY0ba3YI7A"
"1","2019/09/06","LABI1 日本総本店 池袋 -東京都 豊島区","-5123","セゾンカード","日用品","日用品","","0","htHsgwJg9YDcgj9rZoNTxA"
"1","2019/09/05","まいばすけっと","-213","セゾンカード","食費","食料品","","0","1OnX27adqBAlxvSKo-IacA"
"0","2019/09/04","セゾン","-65173","三井住友銀行","現金・カード","カード引き落とし","","1","BDxiVI_kBfRlW0nK1UyGuQ"
