"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/07/31","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","d4hqg35s_pwguRm2HlRz9g"
"1","2019/07/29","上下水道料金 06月~07月分","-4021","セゾンカード","水道・光熱費","水道代","","0","3-jMnaFDdcYm_kjijGgh4w"
"1","2019/07/28","ル・ブラン 銀座店","-3000","セゾンカード","食費","外食","","0","trRNoYRZfcKCLHw25GXwDQ"
"1","2019/07/27","006683 京樽 大塚南口","-853","セゾンカード","食費","昼ご飯","","0","W4QKAGyHIJCZM3g-hBtxRA"
"1","2019/07/26","振込 ジヤン チ- (201908セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","zlG5r_O9dz4-uWqLCXVA2A"
"1","2019/07/22","振込 Vキヤツシユバツク","82","三井住友銀行","収入","その他入金","","0","dVWZI6ZwfLemVSZeYT4p1g"
"1","2019/07/21","マツモトキヨシ新大塚駅前店","-6604","セゾンカード","日用品","ドラッグストア","","0","cQRA0iEodw91ZKXcUyUiCQ"
"1","2019/07/21","マルエツプチ 新大塚","-3592","セゾンカード","食費","食料品","","0","rxYYuWSdlwcMP3xTP_PBHA"
"1","2019/07/21","V427111 VISTAPRINT JAPAN CO","-3975","三井住友銀行","食費","外食","","0","GqKsP2uk08DwIEuAVqhobQ"
"1","2019/07/20","V250116 CoCo都可 原宿店","-960","三井住友銀行","食費","外食","","0","D2RK-hdx76NsyColGsxJtQ"
"1","2019/07/19","まいばすけっと","-1424","セゾンカード","食費","食料品","","0","alXjlfmt2Gd0cRKybyiBKw"
"1","2019/07/18","V956374 UBER BV","-1890","三井住友銀行","食費","外食","","0","qDgzVFTRvT7edx3ZF51Sqw"
"1","2019/07/17","アトレヴィ大塚","-979","セゾンカード","衣服・美容","衣服","","0","cZorH4dQgkiF7mcfgFteDw"
"1","2019/07/15","ETC首都高速 (中央道接続→外苑上)","-500","セゾンカード","自動車","道路料金","","0","Fl21jfXT-aCMs6sqKmdzDg"
"1","2019/07/15","ETC特別割引 (飯田→伊那)","-970","セゾンカード","自動車","道路料金","","0","aIKi2e_a4SGazI0XdvZbfw"
"1","2019/07/15","ETC特別割引 (伊那→高井戸本線)","-3710","セゾンカード","自動車","道路料金","","0","WRIiN-YlwnJADq-7j2CqAg"
"1","2019/07/15","出光昭和シェル","-9362","セゾンカード","自動車","ガソリン","","0","tOM6hIX-_y_RfLxac8x-wA"
"1","2019/07/15","ENEOS SS","-1430","セゾンカード","自動車","ガソリン","","0","IadSowt8g0Q7-SHGPfYkSA"
"1","2019/07/15","諏訪湖SA アルピコ交通(株)","-640","セゾンカード","食費","外食","","0","SHEP1D8_oZvkz9T0Qs48Wg"
"1","2019/07/14","ETC特別割引 (塩尻→松川)","-1320","セゾンカード","自動車","道路料金","","0","-iAQ1Iio4nmHiWRn87lPKg"
"1","2019/07/14","ETC特別割引 (高井戸本線→諏訪)","-3240","セゾンカード","自動車","道路料金","","0","YP7uYAUenScP1aumxNb3oA"
"1","2019/07/14","ETC特別割引 (岡谷→塩尻)","-250","セゾンカード","自動車","道路料金","","0","gfVrC-DQ-_60x5b2X1RW5Q"
"1","2019/07/14","ETC特別割引 (宝町→中央道接続)","-620","セゾンカード","自動車","道路料金","","0","fXkOS4MNBjX7JOWdKM2AJw"
"1","2019/07/13","渋谷ヒカリエ ShinQs -東京都 渋谷区","-1080","セゾンカード","日用品","日用品","","0","ndyF3rTNmrNGxOJ5XR5eOg"
"1","2019/07/13","渋谷ヒカリエ -東京都 渋谷区","-7479","セゾンカード","食費","外食","","0","ZKkkflfUfvCrUpWHRphNpw"
"1","2019/07/11","東京ガス 1474-640-0085","-2546","セゾンカード","水道・光熱費","ガス・灯油代","","0","IEDOysuIqFS2yxuWXS0rjw"
"1","2019/07/10","まいばすけっと","-1080","セゾンカード","食費","食料品","","0","F5DeEs9NI2nM6UqiNvGCaQ"
"1","2019/07/10","HANOK/Air","-4030","セゾンカード","食費","外食","","0","PZWzxCbdgWHwLcr6rTUqng"
"1","2019/07/08","タイムズカーレンタル国内Web予約","-13230","セゾンカード","交通費","その他交通費","","0","c_VyDo3mvZQZWwEEL0vShA"
"1","2019/07/08","タイムズカーレンタル国内Web予約","-37623","セゾンカード","交通費","その他交通費","","0","Ct0A3Ic35q2cWZ2blAA5NA"
"1","2019/07/08","タイムズカーレンタル国内Web予約","-46818","セゾンカード","交通費","その他交通費","","0","U3zhxyQldZB4OJSvFAw-lw"
"1","2019/07/07","アクティビティジャパン -東京都 新宿区","-24000","セゾンカード","趣味・娯楽","アウトドア","","0","swBPltQCfiItN8V5PY73dA"
"1","2019/07/07","EXPEDIA 7450880479139","-15301","セゾンカード","交際費","冠婚葬祭","","0","51-aUrHWUVhFs5_zoAnoXA"
"1","2019/07/07","EXPEDIA 7450878384660","-19298","セゾンカード","交際費","冠婚葬祭","","0","fIucGdPM67sR5IxV-E1zyA"
"1","2019/07/07","EXPEDIA 7450885499872","-42275","セゾンカード","交際費","冠婚葬祭","","0","2b_-cKEdj8H8zoYO0YxqxA"
"0","2019/07/04","セゾン","-89761","三井住友銀行","現金・カード","カード引き落とし","","1","qIjYfCsp82IQESOPGPSQ7w"
