"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/11/30","よしや","-449","セゾンカード","食費","食料品","","0","jeSGK7aRbqTY-dBltoLFQg"
"1","2019/11/30","キャッシュレス・消費者還元分","171","セゾンカード","収入","ポイント還元","","0","eKvUvT_ap8lYq1ksNX6XUw"
"1","2019/11/30","イオンマーケット","-1771","セゾンカード","日用品","日用品","","0","_tBBvX5c5Dbj1yeUhsfoEw"
"1","2019/11/30","振込 ジヤン チ- (201912セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","JIPCvrf_-9OsTEbinN085A"
"1","2019/11/29","V268855 赤坂Bizタワー","-3960","三井住友銀行","食費","外食","","0","Gudhqn8nLPiYtBF_yZjbZg"
"1","2019/11/29","V252909 チユウゴクリヨウリ エイリン","-6292","三井住友銀行","食費","外食","","0","gCgBCrIn8TPIduBPiCYyZA"
"1","2019/11/28","上下水道料金 10月~11月分","-3831","セゾンカード","水道・光熱費","水道代","","0","CNU5TZsQpoXdcZljTJE1lw"
"1","2019/11/28","ファミリーマート","-1957","セゾンカード","食費","食料品","","0","6Ect1kWX93BX3x1Xg4bVeQ"
"1","2019/11/24","マツモトキヨシ新大塚駅前店","-2598","セゾンカード","日用品","ドラッグストア","","0","elQGr8AO1AosEG2NOK2XzQ"
"1","2019/11/24","渋谷餃子 恵比寿店","-3432","セゾンカード","食費","外食","","0","ZtBgDSH_6T8-Bh_kcI5BUg"
"1","2019/11/24","割引分","46","セゾンカード","収入","ポイント還元","","0","gs0Jn5ZHvg3lMDVBUsuG5g"
"1","2019/11/24","西友 サンシャイン店(果物)","-1520","セゾンカード","食費","食料品","","0","7jWfPncgQ0SU4cN2pk85Vg"
"1","2019/11/20","振込 Vキヤツシユバツク","4","三井住友銀行","収入","その他入金","","0","KI3onl6mbN3NSqY5bmh2Kw"
"1","2019/11/18","ドミノ・ピザ","-2106","セゾンカード","食費","食料品","","0","iOHdJVflh0XVIrOzWsxD6Q"
"1","2019/11/15","もりのみやキューズモールBASE","-1463","セゾンカード","日用品","日用品","","0","E-YfsElHwnVuiMdFcZnDRw"
"1","2019/11/13","東京ガス 1474-640-0085","-2816","セゾンカード","水道・光熱費","ガス・灯油代","","0","RUAc6C2dgaDBVmJcYmFQcQ"
"1","2019/11/12","国壱麺赤坂店","-1180","セゾンカード","食費","外食","","0","7f0U-KW1mmSIYjzD74L1HQ"
"1","2019/11/10","よしや","-1733","セゾンカード","食費","食料品","","0","A_CdPUUAced1lVBGBHgnWQ"
"1","2019/11/10","マルエツプチ 新大塚","-877","セゾンカード","食費","食料品","","0","hk455YLTvxLWOTbtbgNYOA"
"0","2019/11/05","セゾン","-135544","三井住友銀行","現金・カード","カード引き落とし","","1","2yswabEFNX341ee1jt18rw"
"1","2019/11/04","割引分","115","セゾンカード","収入","ポイント還元","","0","XYQuwhr5DFwkOEIoZxtPOQ"
"1","2019/11/04","西友 サンシャイン店(アイスクリーム)","-4033","セゾンカード","食費","食料品","","0","Ei02YxDfztwKCqBrJAELUQ"
