"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/12/31","BIGLOBE利用料","-4777","セゾンカード","通信費","インターネット","","0","Rmu0kpjXcBIzu_vFAtpbEA"
"1","2019/12/21","ライフコーポレーション","-8742","セゾンカード","食費","食料品","","0","megSgdQgQMbEmoNdEdF6JA"
"1","2019/12/20","振込 Vキヤツシユバツク","25","三井住友銀行","収入","その他入金","","0","fzwK9x7CWv2Klw2hesrWGA"
"1","2019/12/19","振込 リユウ シンセイ","50000","三井住友銀行","収入","生活費","","0","WegRew05yj4fb_yBdrjJMA"
"1","2019/12/15","アトレヴィ大塚","-2247","セゾンカード","食費","食料品","","0","y78ZM3sFl72uKYiJpoobBQ"
"1","2019/12/15","KLOOK TRAVEL TECHNOLOGY LIMITE","-86750","セゾンカード","趣味・娯楽","アウトドア","","0","yI_tY4V4GCLnjtAKlDPfmw"
"1","2019/12/14","V761259 EARTH & SKY","-26267","三井住友銀行","食費","外食","","0","u6CLQ_y97cQ5DvuFRr09xQ"
"1","2019/12/12","東京ガス 1474-640-0085","-2814","セゾンカード","水道・光熱費","ガス・灯油代","","0","gEuzEuksVqGEHWEEzuI76g"
"1","2019/12/09","EXPEDIA 7501931170675","-13762","セゾンカード","交際費","冠婚葬祭","","0","5-kxyvDOzGKJUpd9xARhIg"
"1","2019/12/08","EXPEDIA 7501627616246","-11837","セゾンカード","交際費","冠婚葬祭","","0","lTcvKT7jhy0jB9M7WE5HOg"
"1","2019/12/08","EXPEDIA 7501636400112","-23633","セゾンカード","交際費","冠婚葬祭","","0","XCI3omTfdnxvnwtThQtHBQ"
"1","2019/12/07","高島屋 柏店 -千葉県 柏市","-1296","セゾンカード","衣服・美容","衣服","","0","xN4ogdt03L7ohW2uM9H4tA"
"1","2019/12/07","V981132 島屋 柏店","-1404","三井住友銀行","食費","外食","","0","3aDwiSFjHVrSMBy_lCCkhw"
"1","2019/12/04","V428829 ピザハツトオンライン","-2916","三井住友銀行","食費","外食","","0","21KuEHBHuBq3UOnxA_JTKQ"
"0","2019/12/04","セゾン","-364093","三井住友銀行","現金・カード","カード引き落とし","","1","b9s1oebVebxETzRa1BbrrQ"
"1","2019/12/01","AIR NEW ZEALAND INTERNET JPY A","-60080","セゾンカード","趣味・娯楽","旅行","","0","KQJdHLq2I_XMQkbwUTw-3g"
