"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2018/12/31","タイムズカープラス","-1030","セゾンカード","自動車","駐車場","","0","803QULWn-cEJeSi48jMnMQ"
"1","2018/12/31","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","hJHPbegp_sByWoXZLSe6nQ"
"1","2018/12/31","割引分","12","セゾンカード","収入","ポイント還元","","0","lT-hwXQDPYOHqf5Anxz12w"
"1","2018/12/31","西友 巣鴨店(日用品・化粧品)","-388","セゾンカード","日用品","日用品","","0","Ad5FOL76B1lM1qfGxCiB-Q"
"1","2018/12/31","割引分","51","セゾンカード","収入","ポイント還元","","0","G1PtSDN14Hwaqbisyjam0A"
"1","2018/12/31","西友 巣鴨店(精肉)","-1676","セゾンカード","食費","食料品","","0","jISV0xbZX5aCVEhFIAMyFQ"
"1","2018/12/29","ライフコーポレーション","-8689","セゾンカード","食費","食料品","","0","kZjupG0O16qWmuzkU9TTOA"
"1","2018/12/29","振込 ジヤン チ- (セイカツヒ201901)","110000","三井住友銀行","収入","生活費","","0","o-ZPVRXTEtwwEmE1BwVyBQ"
"1","2018/12/25","V877830","-429","三井住友銀行","食費","外食","","0","QmX-AEiDDhPGlLtOP3JVCw"
"1","2018/12/25","V877352","-1276","三井住友銀行","食費","外食","","0","nSFP6w6ujy7yCNspQQ_w2w"
"1","2018/12/25","V876057","-3478","三井住友銀行","食費","外食","","0","taG-wpFWGA2z1Q5C2KUoxA"
"1","2018/12/24","C-REX設置 旅館・ホテル","-8790","セゾンカード","趣味・娯楽","旅行","","0","R1yh_tuVuRBaVWfnuTseyw"
"1","2018/12/20","V193526","-3895","三井住友銀行","食費","外食","","0","8nNda67wD2HGGb_1kiuF8Q"
"1","2018/12/20","V191507","-890","三井住友銀行","食費","外食","","0","-RJvqmFd3M8Sxpv4sS9urw"
"1","2018/12/15","割引分","409","セゾンカード","収入","ポイント還元","","0","raFr049MTilnBLvjjyUQTQ"
"1","2018/12/15","西友 サンシャイン店(米乾物豆腐類)","-8711","セゾンカード","食費","食料品","","0","bZU78vdbhA09A1A5zR1TSw"
"1","2018/12/13","東京ガス 1474-640-0085","-4505","セゾンカード","水道・光熱費","ガス・灯油代","","0","Ibpix1FRpU-kcHv4J5KurA"
"1","2018/12/09","友諠商店","-1690","セゾンカード","食費","食料品","","0","tegzkBoi7VvpeFdIh7WcCg"
"1","2018/12/09","業務用スーパーSHIODAYA 池袋西口","-6951","セゾンカード","食費","食料品","","0","i-Yp3Yr4iZ1uTvQVmIA6lA"
"1","2018/12/08","V633738","-3050","三井住友銀行","食費","外食","","0","cf79RrJPkilLOCpvjmT_-A"
"1","2018/12/08","V593879","-3500","三井住友銀行","食費","外食","","0","tY-wl1eR2hxlj43_GX5ZHw"
"0","2018/12/04","セゾン","-14913","三井住友銀行","現金・カード","カード引き落とし","","1","TuBDzX21AQQou-DzJdwN6w"
"1","2018/12/02","割引分","158","セゾンカード","収入","ポイント還元","","0","5kP41_W9ACDdQQilbLS2QA"
"1","2018/12/02","西友 サンシャイン店(アイスクリーム)","-5263","セゾンカード","食費","食料品","","0","p_CnUMjsHTG1rE4hAjZD6w"
"1","2018/12/01","東京ディズニーリゾート","-620","セゾンカード","趣味・娯楽","アウトドア","","0","Y2HSZL1CrMtjdcEU6HnO6A"
"1","2018/12/01","東京ディズニーリゾート","-4170","セゾンカード","趣味・娯楽","アウトドア","","0","rsP_0wHLMH30W4FF5j6InQ"
"1","2018/12/01","東京ディズニーリゾート","-1930","セゾンカード","趣味・娯楽","アウトドア","","0","_Ig6KId1giyZX6O9npL2Jw"
"1","2018/12/01","東京ディズニーリゾート","-2200","セゾンカード","趣味・娯楽","アウトドア","","0","JrvMZkkNpcIrSJP4n7GewA"
