"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/05/31","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","NXjyW0tykJPBXkoCU-1zTg"
"1","2019/05/30","振込 ジヤン チ- (201906セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","8R_qi9YchgZFiUIO-SKfyg"
"1","2019/05/29","上下水道料金 04月~05月分","-4307","セゾンカード","水道・光熱費","水道代","","0","m0aM2XfDS00Xo1fRZhvpAg"
"1","2019/05/26","よしや","-5227","セゾンカード","食費","食料品","","0","FsrHXiLe-KX-d5S7ed-Ztg"
"1","2019/05/26","東京ミッドタウン日比谷 -東京都 千代田区","-2830","セゾンカード","食費","外食","","0","E8UuQUOKtq1q9hF6fICtmA"
"1","2019/05/25","楽天ペイ ミュ-ジアムショップAP","-1000","セゾンカード","食費","食料品","","0","-JXbh8GY6YHtSc65nNuOSg"
"1","2019/05/25","千里香上野店","-8240","セゾンカード","食費","外食","","0","E9wvwmcChHIPl7koQJhXNQ"
"1","2019/05/19","よしや","-1877","セゾンカード","食費","食料品","","0","aaIpyLhnaQZULoaA9yY9Jw"
"1","2019/05/19","よしや","-2774","セゾンカード","食費","食料品","","0","BfXx1Nlks9vUW8-GEQZ0sA"
"1","2019/05/19","マツモトキヨシ新大塚駅前店","-4572","セゾンカード","日用品","ドラッグストア","","0","kFMQYCjGMqCBrlk9iPCfrg"
"1","2019/05/17","割引分","197","セゾンカード","収入","ポイント還元","","0","X7bfk-YsyESbFtNj1ncKVA"
"1","2019/05/17","西友 サンシャイン店(精肉)","-7096","セゾンカード","食費","食料品","","0","puhuKqHptGjMOd8_ksOvcA"
"1","2019/05/15","東京ガス 1474-640-0085","-4192","セゾンカード","水道・光熱費","ガス・灯油代","","0","3wu3hiRnShYQj5hTpoErog"
"1","2019/05/13","アトレヴィ大塚","-725","セゾンカード","衣服・美容","衣服","","0","X51vfIi-fiAn_FBXKObw7A"
"1","2019/05/12","よしや","-5874","セゾンカード","食費","食料品","","0","txwMjmrPNBrtoLaQrkgk4w"
"1","2019/05/11","ライフコーポレーション","-9108","セゾンカード","食費","食料品","","0","I9tvZh-JTQqXtkQ8El8v8w"
"0","2019/05/07","セゾン","-46512","三井住友銀行","現金・カード","カード引き落とし","","1","v2IbSsCLfQzWu0O-mDZjdw"
"1","2019/05/06","銀だこ大衆酒場 大塚南口店","-1180","セゾンカード","食費","外食","","0","eY2OggamOZ4pEV2-WwZWTg"
"1","2019/05/05","肉のハナマサ巣鴨店","-2337","セゾンカード","食費","食料品","","0","26K4hx7nkx0-u4dMxSEl4w"
"1","2019/05/03","ETC首都高速 (常磐道接続→王子北)","-650","セゾンカード","自動車","道路料金","","0","UtgMHw0Kph4keFuCHqTZmg"
"1","2019/05/03","ETC特別割引 (東海スマー→三郷)","-1940","セゾンカード","自動車","道路料金","","0","FmY1juKIeRWHPp1hMJnvOw"
"1","2019/05/03","守谷SA柿次郎〔上り〕","-828","セゾンカード","食費","食料品","","0","z0kQRJ5Gv-wA-Viw4rEh2A"
"1","2019/05/02","ETC首都高速 (東池袋→常磐道接続)","-830","セゾンカード","自動車","道路料金","","0","XTKGylnSdbPGpT9pI5VnOg"
"1","2019/05/02","ETC特別割引 (三郷→阿見東)","-1190","セゾンカード","自動車","道路料金","","0","BffMdYFht5zTxq3J20N41Q"
"1","2019/05/02","ETC特別割引 (阿見東→水戸)","-1060","セゾンカード","自動車","道路料金","","0","IxLMwVNBQHyz0KbjIy2jgw"
"1","2019/05/02","あみ プレミアム・アウトレット","-3542","セゾンカード","食費","外食","","0","DoB6v7rLAgqNg8nhTmlB2Q"
"1","2019/05/02","JR東日本リテールネット 水戸支店","-3066","セゾンカード","交通費","電車","","0","Ig6dyqYr4Z8O8EfbwG1vkg"
"1","2019/05/02","三の丸ホテル","-13500","セゾンカード","趣味・娯楽","旅行","","0","1JqHp4H3NFWdcMKRhEsBHw"
"1","2019/05/01","よしや","-3166","セゾンカード","食費","食料品","","0","umJ5sH0aRm-axQ7jBSt8tQ"
"1","2019/05/01","楽天ペイ エイトデイズ","-1300","セゾンカード","食費","食料品","","0","xaOO5fQu1_v8vwezUWOF1g"
"1","2019/05/01","振込 ジヤン チ- (201905セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","vIo1j8ry30A2DyrhChTsZg"
