"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2019/03/31","タイムズカープラス","-1030","セゾンカード","自動車","駐車場","","0","SWEVsxvC9p0z__b8WvYzlQ"
"1","2019/03/31","BIGLOBE利用料 -東京都 品川区","-4703","セゾンカード","通信費","インターネット","","0","ZlQcyNmjckzzH09x_xp8VQ"
"1","2019/03/31","よしや","-2887","セゾンカード","食費","食料品","","0","E5K_tkiaXb2bTanGnhKSWw"
"1","2019/03/31","振込 ジヤン チ- (201904セイカツヒ)","110000","三井住友銀行","収入","生活費","","0","zgSd8CYNdNQoHoJlRsLS3Q"
"1","2019/03/30","西武池袋本店(洋菓子)","-2456","セゾンカード","食費","食料品","","0","ruue5BHNayrLA8xRdmsQFg"
"1","2019/03/29","小松庵総本家 本店","-6372","セゾンカード","食費","外食","","0","1ob5NeVEGhiiKLhgwLNdaQ"
"1","2019/03/28","上下水道料金 02月~03月分","-4021","セゾンカード","水道・光熱費","水道代","","0","VfGEKzHFNaDHqXTNAvWbrw"
"1","2019/03/26","アトレヴィ大塚","-951","セゾンカード","衣服・美容","衣服","","0","mhPDrFD9AcsENzwRhiOxTg"
"1","2019/03/23","割引分","152","セゾンカード","収入","ポイント還元","","0","NM1OqAfghIwwYMGBEvaVsA"
"1","2019/03/23","西友 サンシャイン店(水産品)","-5556","セゾンカード","食費","食料品","","0","bGQxaqk8OphjQTvi-DyWwg"
"1","2019/03/22","V120737 和食 えん 汐留店","-8206","三井住友銀行","食費","外食","","0","qINKazEka3FV7MV8HsLjKA"
"1","2019/03/21","よしや","-950","セゾンカード","食費","食料品","","0","7hpSH_UrRcjoiA7hNzML9A"
"1","2019/03/21","アトレヴィ大塚","-970","セゾンカード","衣服・美容","衣服","","0","fnhpI_AVUoLnyrB25N_XPA"
"1","2019/03/20","振込 Vキヤツシユバツク","10","三井住友銀行","収入","その他入金","","0","7bkB1QZRcTOOV0nfdEYDaA"
"1","2019/03/19","V677375 アトレヴィオオツカ","-1703","三井住友銀行","食費","外食","","0","qSjEK_5f8PATJiYm-PyPKQ"
"1","2019/03/12","東京ガス 1474-640-0085","-4486","セゾンカード","水道・光熱費","ガス・灯油代","","0","ofsMLOnpgAU7un6Gjry-HA"
"1","2019/03/09","日比谷シャンテ","-8382","セゾンカード","食費","外食","","0","F4Nc-8kiRKc5EMkPWyqYlA"
"0","2019/03/04","セゾン","-131790","三井住友銀行","現金・カード","カード引き落とし","","1","yYE25DLpSE_NBedR4zIGDQ"
"1","2019/03/03","アトレヴィ大塚","-1332","セゾンカード","衣服・美容","衣服","","0","kxXOhP0tWyg-odiF_hfj4g"
"1","2019/03/02","よしや","-3655","セゾンカード","食費","食料品","","0","MPx8eWZKQu1cauVgak4HaA"
"1","2019/03/02","楽天ペイ エイトデイズ","-1250","セゾンカード","食費","食料品","","0","gm77lAXoj1Yg6HnfIH3AnQ"
"1","2019/03/01","銀だこ大衆酒場 大塚南口店","-6270","セゾンカード","食費","外食","","0","exblh-7bPP1bQf49qCHi5A"
